condition,model,cohort,n,events,c_index,selected_features
inner_ring_physical5mm,radiomics,LUNG2_validation,113,44,0.6106038291605302,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness
inner_ring_physical5mm,age_sex,LUNG2_validation,113,44,0.6332842415316642,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness
inner_core_physical5mm,radiomics,LUNG1_all,397,353,0.5834331545232019,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis
inner_core_physical5mm,age_sex,LUNG1_all,397,353,0.5986667361074944,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis
inner_core_physical5mm,radiomics,LUNG2_validation,113,44,0.5670103092783505,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis
inner_core_physical5mm,age_sex,LUNG2_validation,113,44,0.5864506627393226,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis
outer_ring_physical5mm,radiomics,LUNG1_all,397,353,0.6058017811572314,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity
outer_ring_physical5mm,age_sex,LUNG1_all,397,353,0.6089656788708921,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity
outer_ring_physical5mm,radiomics,LUNG2_validation,113,44,0.6044182621502209,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity
outer_ring_physical5mm,age_sex,LUNG2_validation,113,44,0.6297496318114875,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity
