condition,model,cohort,n,events,c_index,selected_features
outer_ring_physical3mm,age_sex,LUNG1_all,397,353,0.6398104265402843,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2;outer_ring__original_firstorder_Minimum;outer_ring__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_firstorder_Maximum;outer_ring__wavelet-LHL_gldm_DependenceVariance;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__original_shape_SurfaceVolumeRatio;outer_ring__wavelet-LLL_glcm_Imc2;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__original_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-HLL_glszm_LargeAreaEmphasis;outer_ring__wavelet-HLL_glszm_ZoneVariance;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLH_firstorder_Kurtosis
outer_ring_physical3mm,radiomics,LUNG2_validation,113,44,0.6153166421207659,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2;outer_ring__original_firstorder_Minimum;outer_ring__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_firstorder_Maximum;outer_ring__wavelet-LHL_gldm_DependenceVariance;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__original_shape_SurfaceVolumeRatio;outer_ring__wavelet-LLL_glcm_Imc2;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__original_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-HLL_glszm_LargeAreaEmphasis;outer_ring__wavelet-HLL_glszm_ZoneVariance;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLH_firstorder_Kurtosis
outer_ring_physical3mm,age_sex,LUNG2_validation,113,44,0.6270986745213549,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2;outer_ring__original_firstorder_Minimum;outer_ring__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_firstorder_Maximum;outer_ring__wavelet-LHL_gldm_DependenceVariance;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__original_shape_SurfaceVolumeRatio;outer_ring__wavelet-LLL_glcm_Imc2;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__original_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-HLL_glszm_LargeAreaEmphasis;outer_ring__wavelet-HLL_glszm_ZoneVariance;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLH_firstorder_Kurtosis
inner_ring_physical5mm,radiomics,LUNG1_all,397,353,0.6137050153637832,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_glcm_MCC;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__original_ngtdm_Busyness;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LLH_firstorder_Energy;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHL_firstorder_Energy;inner_ring__wavelet-HLL_firstorder_TotalEnergy;inner_ring__wavelet-HHL_firstorder_TotalEnergy
inner_ring_physical5mm,age_sex,LUNG1_all,397,353,0.6138612572261861,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_glcm_MCC;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__original_ngtdm_Busyness;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LLH_firstorder_Energy;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHL_firstorder_Energy;inner_ring__wavelet-HLL_firstorder_TotalEnergy;inner_ring__wavelet-HHL_firstorder_TotalEnergy
inner_ring_physical5mm,radiomics,LUNG2_validation,113,44,0.5891016200294551,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_glcm_MCC;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__original_ngtdm_Busyness;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LLH_firstorder_Energy;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHL_firstorder_Energy;inner_ring__wavelet-HLL_firstorder_TotalEnergy;inner_ring__wavelet-HHL_firstorder_TotalEnergy
inner_ring_physical5mm,age_sex,LUNG2_validation,113,44,0.6026509572901325,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_glcm_MCC;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__original_ngtdm_Busyness;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LLH_firstorder_Energy;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHL_firstorder_Energy;inner_ring__wavelet-HLL_firstorder_TotalEnergy;inner_ring__wavelet-HHL_firstorder_TotalEnergy
inner_core_physical5mm,radiomics,LUNG1_all,397,353,0.5914275298161554,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis;inner_core__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis;inner_core__wavelet-HHH_firstorder_Energy;inner_core__original_shape_Maximum2DDiameterSlice
inner_core_physical5mm,age_sex,LUNG1_all,397,353,0.6013228477683454,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis;inner_core__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis;inner_core__wavelet-HHH_firstorder_Energy;inner_core__original_shape_Maximum2DDiameterSlice
inner_core_physical5mm,radiomics,LUNG2_validation,113,44,0.5637702503681885,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis;inner_core__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis;inner_core__wavelet-HHH_firstorder_Energy;inner_core__original_shape_Maximum2DDiameterSlice
inner_core_physical5mm,age_sex,LUNG2_validation,113,44,0.5817378497790869,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis;inner_core__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis;inner_core__wavelet-HHH_firstorder_Energy;inner_core__original_shape_Maximum2DDiameterSlice
outer_ring_physical5mm,radiomics,LUNG1_all,397,353,0.6169860944742461,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HLL_gldm_DependenceNonUniformity;outer_ring__original_glszm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLL_glszm_GrayLevelNonUniformity
outer_ring_physical5mm,age_sex,LUNG1_all,397,353,0.6187307952710797,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HLL_gldm_DependenceNonUniformity;outer_ring__original_glszm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLL_glszm_GrayLevelNonUniformity
outer_ring_physical5mm,radiomics,LUNG2_validation,113,44,0.5119293078055964,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HLL_gldm_DependenceNonUniformity;outer_ring__original_glszm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLL_glszm_GrayLevelNonUniformity
outer_ring_physical5mm,age_sex,LUNG2_validation,113,44,0.5301914580265096,outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHH_firstorder_Maximum;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HLL_gldm_DependenceNonUniformity;outer_ring__original_glszm_GrayLevelNonUniformity;outer_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;outer_ring__wavelet-HLL_glszm_GrayLevelNonUniformity
